Sample,Treatment,total,herb,herb.18,notree,notree.18,tree,perveg.richness,perveg.shannon,TN_perc,TN_ppt,TN_log,TC_perc,TC_ppt,TC_log,CN_ratio,OM_perc,OM_log,barc.richness,barc.shannon,barc.NMDS1,barc.NMDS2,barc.betadisp.3,fungi.richness,fungi.shannon,fungi.NMDS1,fungi.NMDS2,fungi.betadisp.3,chemoheterotrophy_perc,chemoheterotrophy_log,n.cycler_perc,n.cycler_log,saprotroph,dElev,dElev_corrected
1,Treated,31.125,27.375,36,27.375,36,12.3611111111111,5,0.633552590490464,1.1,11,0.0953101798043247,6.8,68,1.91692261218206,6.18181818181818,1.07256778309401,0.0700555708429885,1605,6.72541686156155,-0.355736327450174,0.747645950007928,0.538027079506032,241,4.23468667668081,-0.81954046033684,-0.5282788135508,0.65012052000315,15.7229095787236,2.75511885757951,5.00957629926541,1.61135134051554,30.1443165234312,0.5356969999998,0.5356969999998
2,Treated,82.625,14.5,20.25,15.125,20.375,8.95833333333333,3,0.065449516177756,1.3,13,0.262364264467491,6.4,64,1.85629799036563,4.92307692307692,1.0139846209012,0.0138877382898765,1844,6.7683110577212,0.0542330272868297,-0.031610678448325,0.304543989252663,211,4.46746298126177,-0.391226457401906,-0.431999037597847,0.577583360000979,19.1667164599534,2.95317525704243,3.64657578680506,1.29378858666374,25.3388126256886,0.366559428571463,0.366559428571463
3,Treated,2.25,2.125,9.5,2.25,9.5,4.30555555555556,4,1.14370838942625,2.2,22,0.78845736036427,18.1,181,2.89591193827178,8.22727272727273,1.49758744268918,0.403855441749557,1973,6.90333658865712,-0.379994453389513,-0.326620582350225,0.454557575100392,443,4.7346280778701,0.0601135469875688,0.0901882083699897,0.482945368100193,17.3473101265823,2.8534374584417,5.37737341772152,1.68220004263984,18.0198828022507,0.175763857142783,0.175763857142783
4,Treated,24,23.375,31.875,24,31.875,13.75,5,1.21004283655708,1.5,15,0.405465108108164,9.5,95,2.2512917986065,6.33333333333333,1.19402985074631,0.177334015282954,1730,6.64666347024697,-0.078280945070526,-0.249607540813309,0.384030739435464,288,4.50206929786493,-0.0181890377562863,-0.12569010766839,0.499655018818015,18.9230005982519,2.94037814503698,5.35508441188916,1.67804646696673,19.2843438723751,0.200892714285828,0.200892714285828
5,Treated,7.375,7.375,13.625,7.375,13.625,1.66666666666667,5,0.789115548837965,2.1,21,0.741937344729377,19.3,193,2.96010509591084,9.19047619047619,1.40364112847192,0.339069666429229,1775,6.74525126710529,-0.3257989385182,0.0231634783635465,0.406704891879791,418,3.98912588401685,0.144445497593243,0.539861249096636,0.55949304239123,20.3997020854022,3.01552029708678,7.16898378020523,1.96976391237762,14.8603412672536,0.099400142857121,0.099400142857121
6,Treated,14.75,13.875,9.125,14.75,19.125,4.44444444444444,6,0.908374332821751,1.8,18,0.587786664902119,12.8,128,2.54944517092557,7.11111111111111,1.12074178593022,0.113990774943549,1544,6.68617510962101,-0.187028158065404,-0.116342973579484,0.374353420116313,488,4.66952081160328,-0.192468275700812,0.286896626364226,0.51083589004824,23.5141809729711,3.15760368480834,4.44955265204276,1.49280356349407,26.1328318838309,0.141409571428767,0.141409571428767
7,Treated,30.25,17.125,13.75,30.25,13.75,22.8055555555556,3,1.00546249694842,2.1,21,0.741937344729377,19.4,194,2.96527306606928,9.23809523809524,1.33874327373724,0.29173131848129,1938,6.87037614178293,-0.160915127779213,-0.0835250122435893,0.381250078202551,373,4.45231673062581,-0.345387975479048,0.180937812634672,0.52732341389574,26.0649532048124,3.26059162289187,3.47370764984919,1.24522251052108,24.9901676596117,0.196585428571325,0.196585428571325
8,Treated,6.25,6.25,2.375,6.25,2.375,0.0277777777777778,4,0.539458926673294,1.2,12,0.182321556793955,6.8,68,1.91692261218206,5.66666666666667,1.12902570767166,0.121355055210903,1215,5.95237717126643,0.462118566278511,-0.0839745076861327,0.400055687955879,354,4.52533732506712,0.0619476716824734,-0.773413339981209,0.616687647679532,16.930405358533,2.82911113906768,2.26226905200521,0.816368314920002,15.3540369300066,0.190255142857268,0.190255142857268
9,Treated,29.125,19,20.375,29.125,38.625,1.73611111111111,6,1.10820471026077,1.1,11,0.0953101798043247,8.1,81,2.09186406167839,7.36363636363636,1.11507229154288,0.108919238274825,1485,6.33385727039047,0.253660763048305,0.0896383195056908,0.328062619916775,302,4.63577873672822,-0.0265975298883204,-0.0529550863936893,0.46887857536376,16.852853963265,2.82452001713058,2.76116590461427,1.01565301973903,18.6233565351895,0.125610428571463,0.125610428571463
10,Treated,19.5,18.125,7,19.5,7.75,5.58333333333333,10,1.7031916739424,1.4,14,0.336472236621213,8,80,2.07944154167984,5.71428571428571,1.14322006986346,0.133848903343189,1665,6.71685649376324,0.0248570942844624,-0.0703117100956116,0.33619679623853,244,3.13864191663475,0.0893146564978391,0.753593950108475,0.600330486491369,23.6928904475672,3.16517502202244,5.48203551967386,1.7014764771872,34.2293810267737,NA,NA
