"Treatment3","Year","year.date","year.xaxis","mean","SD","SE"
"Control","2012",2012-11-01,2012-01-01,20.0347222222222,12.3433677111535,2.25358031032655
"Control","2013",2013-11-01,2013-01-01,17.4152777777778,8.05566484104757,1.47075644971434
"Control","2014",2014-11-01,2014-01-01,22.2833333333333,16.7553688427761,3.0590978248359
"Control","2015",2015-11-01,2015-01-01,14.2116935483871,6.7598053284068,1.21409687765071
"Control","2018",2018-11-01,2018-01-01,19.8971774193548,10.721735473287,1.92568053793089
"Control","2021",2021-11-01,2021-01-01,26.7862903225806,17.1481881801811,3.0799055173134
"Treated","2012",2012-11-01,2012-01-01,11.4368279569892,7.79417570244126,1.39987528108671
"Treated","2013",2013-11-01,2013-01-01,6.92959770114942,4.65151003078597,0.863763728200749
"Treated","2014",2014-11-01,2014-01-01,15.1391129032258,7.86481996902417,1.4125633659228
"Treated","2015",2015-11-01,2015-01-01,12.78125,7.89233774941633,1.44093713893496
"Treated","2018",2018-11-01,2018-01-01,24.4899193548387,16.0491927429891,2.88252010989047
"Treated","2021",2021-11-01,2021-01-01,21.7612903225806,14.4040139641549,2.58703727842993
